#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
259     0.26138649        0.261353825          6.53384563e-05     3.13163e+06     328152          7.59143e-07             
260     0.261451837       0.261419164          6.53547909e-05     3.24378e+06     339904          7.59143e-07             
261     0.2615172         0.261484519          6.53711296e-05     3.35596e+06     351659          7.59143e-07             
262     0.261582579       0.26154989           6.53874724e-05     3.46817e+06     363417          7.59143e-07             
263     0.261647975       0.261615277          6.54038193e-05     3.58041e+06     375178          7.59143e-07             
264     0.261713387       0.261680681          6.54201702e-05     3.69267e+06     386941          7.59143e-07             
265     0.261778815       0.261746101          6.54365253e-05     3.80496e+06     398708          7.59143e-07             
266     0.26184426        0.261811538          6.54528844e-05     3.92263e+06     411038          7.59143e-07             
267     0.261909721       0.261876991          6.54692476e-05     4.12541e+06     432287          7.59143e-07             
268     0.261975198       0.26194246           6.54856149e-05     4.35773e+06     456631          7.59143e-07             
269     0.262040692       0.262007945          6.55019863e-05     4.59011e+06     480981          7.59143e-07             
270     0.262106202       0.262073447          6.55183618e-05     4.82255e+06     505337          7.59143e-07             
271     0.262171729       0.262138966          6.55347414e-05     5.05505e+06     529700          7.59143e-07             
272     0.262237272       0.2622045            6.55511251e-05     5.2876e+06      554068          7.59143e-07             
273     0.262302831       0.262270052          6.55675129e-05     5.52022e+06     578443          7.59143e-07             
274     0.262368407       0.262335619          6.55839048e-05     5.75289e+06     602824          7.59143e-07             
275     0.262433999       0.262401203          6.56003007e-05     5.98562e+06     627211          7.59143e-07             
276     0.262499608       0.262466803          6.56167008e-05     6.2184e+06      651604          7.59143e-07             
277     0.262565232       0.26253242           6.5633105e-05      6.45125e+06     676003          7.59143e-07             
278     0.262630874       0.262598053          6.56495133e-05     6.68415e+06     700408          7.59143e-07             
279     0.262696531       0.262663703          6.56659257e-05     6.91712e+06     724819          7.59143e-07             
280     0.262762206       0.262729369          6.56823421e-05     7.15014e+06     749236          7.59143e-07             
