#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
241     0.26021304        0.260180522          6.50451304e-05     2.10113e+06     300495          1.0361e-06              
242     0.260278093       0.260245567          6.50613917e-05     2.10636e+06     301242          1.0361e-06              
243     0.260343163       0.260310628          6.5077657e-05      2.11158e+06     301989          1.0361e-06              
244     0.260408249       0.260375706          6.50939264e-05     2.11681e+06     302737          1.0361e-06              
245     0.260473351       0.2604408            6.51101999e-05     2.12203e+06     303484          1.0361e-06              
246     0.260538469       0.26050591           6.51264775e-05     2.12726e+06     304232          1.0361e-06              
247     0.260603604       0.260571036          6.51427591e-05     2.13249e+06     304980          1.0361e-06              
248     0.260668755       0.260636179          6.51590448e-05     2.13772e+06     305728          1.0361e-06              
249     0.260733922       0.260701338          6.51753345e-05     2.14295e+06     306476          1.0361e-06              
250     0.260799105       0.260766514          6.51916284e-05     2.15204e+06     307775          1.0361e-06              
251     0.260864305       0.260831705          6.52079263e-05     2.23543e+06     319701          1.0361e-06              
252     0.260929521       0.260896913          6.52242283e-05     2.34735e+06     335708          1.0361e-06              
253     0.260994754       0.260962137          6.52405343e-05     2.45931e+06     351720          1.0361e-06              
254     0.261060002       0.261027378          6.52568445e-05     2.57129e+06     367735          1.0361e-06              
255     0.261125267       0.261092635          6.52731587e-05     2.6833e+06      383755          1.0361e-06              
256     0.261190549       0.261157908          6.5289477e-05      2.79534e+06     399778          1.0361e-06              
257     0.261255846       0.261223197          6.53057993e-05     2.90741e+06     415806          1.0361e-06              
258     0.26132116        0.261288503          6.53221258e-05     3.01951e+06     431837          1.0361e-06              
259     0.26138649        0.261353825          6.53384563e-05     3.13163e+06     447873          1.0361e-06              
260     0.261451837       0.261419164          6.53547909e-05     3.24378e+06     463912          1.0361e-06              
261     0.2615172         0.261484519          6.53711296e-05     3.35596e+06     479955          1.0361e-06              
262     0.261582579       0.26154989           6.53874724e-05     3.46817e+06     496003          1.0361e-06              
263     0.261647975       0.261615277          6.54038193e-05     3.58041e+06     512055          1.0361e-06              
264     0.261713387       0.261680681          6.54201702e-05     3.69267e+06     528110          1.0361e-06              
265     0.261778815       0.261746101          6.54365253e-05     3.80496e+06     544170          1.0361e-06              
266     0.26184426        0.261811538          6.54528844e-05     3.92263e+06     560998          1.0361e-06              
267     0.261909721       0.261876991          6.54692476e-05     4.12541e+06     589999          1.0361e-06              
268     0.261975198       0.26194246           6.54856149e-05     4.35773e+06     623224          1.0361e-06              
